Tabelle 1
"Lastenheft GAWT L02 Projekt ""Datenanalyse""";;;;;
Stand: 2022-11-25;;;;;
;;;;;
Hinweis:;;;;;
"Zum Bestehen müssen alle ""MUSS""-Anforderungen erfüllt sein!";;;;;
;;;;;
ID;Priorität (MUSS / SOLL / KANN);Datensatz;Beschreibung;Auswertung;erreichbare Zusatzpunkte in %
;;;;;100
;;;;;
(Muss noch alles eingefuegt werden)R0.1;MUSS;;"Es existiert ein Projektbericht als PDF-Datei mit folgenden Inhalten:
* Deckblatt mit Gruppennummer, Namen aller Beteiligten, Veranstaltungsname, Semester
* Quellenverzeichnis für externe Referenzen";Bericht;0
R0.2;MUSS;;"Alle .csv-Dateien liegen als UTF-8 Datei mit Trennzeichen "","" und Dezimaltrennzeichen ""."" vor.";Datei;0
x R0.3;SOLL;;Der gesamte Quellcode / die Rohdaten sowie alle Ergebnisse sind vorhanden.;Code;2
x R0.4;KANN;;Die Abgabe erfolgt über ein .git-Repository auf einer beliebigen Git-Webplattform.;-;2
;;;;;0
x R1.1;MUSS;1;"Es liegt eine textuelle Beschreibung des gegebenen Datensatzes vor, die folgende Fragen beantwortet:
* Welches Wissen ist über Struktur und Inhalt des Datensatzes vor der weiteren Auswertung vorhanden? 
* Woher stammen die Daten (Quellenangabe)?
* In welchem Format liegen die Daten vor (Anzahl Dateien, Kodierung, ...)?";Bericht;0
x R1.2;MUSS;1;Für jede Variable ist die jeweils geeignete Skalenvariante angegeben.;Bericht;0
(noch: Codedokumentation) R1.3;MUSS;1;Die verwendete Software und die genutzten Funktionen sind dokumentiert.;Bericht / Code / Datei;0
x R1.4;MUSS;1;Zu jeder Variable ist eine Urliste im .csv-Format erstellt.;Datei;0
x R1.5;MUSS;1;Zu jeder Variable ist eine Rangliste im .csv-Format erstellt.;Datei;0
x R1.6;KANN;1;Die gegebenen Daten liegen als konsolidierte Excel-Datei im .xlsx-Format vor.;Datei;1
x R1.7;MUSS;1;Für jede Variable sind Modus, arithmetischer Mittelwert und Median angegeben.;Bericht;0
x R1.8;MUSS;1;Für jede Variable ist die Spannweite angegeben.;Bericht;0
x R1.9;MUSS;1;Für jede Variable ist die mittlere Abweichung vom Median angegeben.;Bericht;0
x R1.10;MUSS;1;Für jede Variable ist die Stichprobenvarianz angegeben.;Bericht;0
x R1.11;MUSS;1;Für jede Variable ist der Variationskoeffizient angegeben.;Bericht;0
x R1.12;MUSS;1;Für jede Variable ist ein Box-Whisker-Plot erstellt.;Bericht;0
x R1.13;MUSS;1;Ein Scatterplot der Daten liegt vor, Achsenbeschriftungen sind vorhanden.;Bericht;0
x R1.14;MUSS;1;Eine textuelle Beschreibung der Daten als Zusammenfassung liegt vor.;Bericht;0
x R1.15;SOLL;1;Für jede Variable sind sämtliche Quartile und Dezile angegeben.;Bericht;4
x R1.16;SOLL;1;Für jede Variable ist der Quartilsabstand R_Q0.5 angegeben.;Bericht;2
x R1.17;SOLL;1;Die Kovarianz ist angegeben.;Bericht;2
x R1.18;SOLL;1;Der Korrelationskoeffizient ist angegeben.;Bericht;2
R1.19;KANN;1;Die Daten wurden für jede Variable in eigens definierte, sinnvolle Klassen eingeteilt, für jede Variable ist ein Histogramm verfügbar.;Bericht;2
R1.20;KANN;1;Eine Kontingenztabelle zu den klassifizierten Daten liegt vor.;Bericht;2
R1.21;KANN;1;Der Rangkorrelationskoeffizient nach Spearman ist berechnet.;Bericht;2
;;;;;
x R2.1;SOLL;2;"Es liegt eine textuelle Beschreibung des gegebenen Datensatzes vor, die folgende Fragen beantwortet:
* Welches Wissen ist über Struktur und Inhalt des Datensatzes vor der weiteren Auswertung vorhanden? 
* Woher stammen die Daten (Quellenangabe)?
* In welchem Format liegen die Daten vor (Anzahl Dateien, Kodierung, ...)?";Bericht;2
x R2.2;SOLL;2;Die eingelesenen Daten liegen in bereinigter Form vor.;Datei;2
x R2.3;SOLL;2;Ergriffene Maßnahmen zur Datenbereinigung sind dokumentiert.;Bericht / Code / Datei;2
x R2.4;SOLL;2;Die verwendete Software und die genutzten Funktionen sind dokumentiert.;Bericht / Code / Datei;2
x R2.5;SOLL;2;Die bereinigten Daten liegen als konsolidierte Excel-Datei im .xlsx-Format vor.;Datei;1
x R2.6;SOLL;2;Zu jeder Variable ist eine Urliste im .csv-Format erstellt.;Datei;1
x R2.7;SOLL;2;Zu jeder Variable ist eine Rangliste im .csv-Format erstellt.;Datei;1
x R2.8;SOLL;2;Für jede Variable sind Modus, arithmetischer Mittelwert und Median angegeben.;Bericht;1
x R2.9;KANN;2;Für jede Variable ist die Spannweite angegeben.;Bericht;1
